model,game,framing,run_id,round,llm_number,random_numbers,mean,target,winner_number,llm_won,payoff,raw_response,temperature,num_players,num_rounds
gpt-4o-mini,beauty_contest,neutral,1,17,20,90|8|5|84,41.4,27.6,20,1,1,20,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,18,20,29|98|37|10,38.8,25.8667,29,0,0,20,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,19,20,29|12|48|35,28.8,19.2,20,1,1,20,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,20,20,58|81|46|20,45.0,30.0,20,1,1,20,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,1,33,47|45|26|85,47.2,31.4667,33,1,1,33,0,5,1
gpt-4o-mini,beauty_contest,competitive,1,1,33,34|89|87|82,65.0,43.3333,34,0,0,33,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,2,30,9|77|81|21,43.6,29.0667,30,1,1,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,3,29,68|93|31|20,48.2,32.1333,31,0,0,29,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,4,30,59|48|34|81,50.4,33.6,34,0,0,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,5,30,88|71|28|87,60.8,40.5333,30,1,1,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,6,30,41|98|99|7,55.0,36.6667,41,0,0,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,7,30,29|4|40|51,30.8,20.5333,29,0,0,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,8,28,34|8|27|72,33.8,22.5333,27,0,0,28,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,9,27,91|40|27|83,53.6,35.7333,40,0,0,27,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,10,28,63|50|82|58,56.2,37.4667,28,1,1,28,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,11,30,18|33|17|31,25.8,17.2,17,0,0,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,12,24,95|71|68|33,58.2,38.8,33,0,0,24,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,13,30,95|74|54|74,65.4,43.6,54,0,0,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,14,32,51|46|28|17,34.8,23.2,28,0,0,32,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,15,28,65|63|11|96,52.6,35.0667,28,1,1,28,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,16,28,6|14|19|80,29.4,19.6,19,0,0,28,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,17,30,20|87|54|76,53.4,35.6,30,1,1,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,18,30,8|49|48|76,42.2,28.1333,30,1,1,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,19,30,59|67|32|70,51.6,34.4,32,0,0,30,1,5,20
gpt-4o-mini,beauty_contest,competitive,1,20,30,1|87|92|14,44.8,29.8667,30,1,1,30,1,5,20
claude-haiku,beauty_contest,neutral,1,1,33,87|68|96|34,63.6,42.4,34,0,0,33,0,5,1
claude-haiku,beauty_contest,neutral,1,1,33,98|82|43|14,54.0,36.0,33,1,1,33,1,5,20
claude-haiku,beauty_contest,neutral,1,2,22,37|55|20|58,38.4,25.6,22,1,1,22,1,5,20
claude-haiku,beauty_contest,neutral,1,3,24,0|92|92|33,48.2,32.1333,33,0,0,24,1,5,20
claude-haiku,beauty_contest,neutral,1,4,22,64|97|22|64,53.8,35.8667,22,1,1,22,1,5,20
claude-haiku,beauty_contest,neutral,1,5,24,13|80|38|81,47.2,31.4667,38,0,0,24,1,5,20
claude-haiku,beauty_contest,neutral,1,6,24,64|77|25|19,41.8,27.8667,25,0,0,24,1,5,20
claude-haiku,beauty_contest,neutral,1,7,24,47|97|20|69,51.4,34.2667,24,1,1,24,1,5,20
claude-haiku,beauty_contest,neutral,1,8,28,99|67|0|76,54.0,36.0,28,1,1,28,1,5,20
claude-haiku,beauty_contest,neutral,1,9,28,41|62|2|14,29.4,19.6,14,0,0,28,1,5,20
claude-haiku,beauty_contest,neutral,1,10,24,46|39|30|7,29.2,19.4667,24,1,1,24,1,5,20
claude-haiku,beauty_contest,neutral,1,11,20,30|72|10|10,28.4,18.9333,20,1,1,20,1,5,20
claude-haiku,beauty_contest,neutral,1,12,22,93|62|8|97,56.4,37.6,22,1,1,22,1,5,20
claude-haiku,beauty_contest,neutral,1,13,24,68|98|16|16,44.4,29.6,24,1,1,24,1,5,20
claude-haiku,beauty_contest,neutral,1,14,22,84|60|70|21,51.4,34.2667,22,1,1,22,1,5,20
claude-haiku,beauty_contest,neutral,1,15,24,33|67|77|54,51.0,34.0,33,0,0,24,1,5,20
claude-haiku,beauty_contest,neutral,1,16,23,27|69|96|93,61.6,41.0667,27,0,0,23,1,5,20
claude-haiku,beauty_contest,neutral,1,17,24,88|25|91|39,53.4,35.6,39,0,0,24,1,5,20
claude-haiku,beauty_contest,neutral,1,18,24,51|85|83|47,58.0,38.6667,47,0,0,24,1,5,20
claude-haiku,beauty_contest,neutral,1,19,28,56|66|57|15,44.4,29.6,28,1,1,28,1,5,20
claude-haiku,beauty_contest,neutral,1,20,28,31|28|8|43,27.6,18.4,28,1,1,28,1,5,20
claude-haiku,beauty_contest,competitive,1,1,33,2|75|70|29,41.8,27.8667,29,0,0,33,0,5,1
claude-haiku,beauty_contest,competitive,1,1,33,75|28|0|9,29.0,19.3333,28,0,0,33,1,5,20
claude-haiku,beauty_contest,competitive,1,2,20,90|80|7|29,45.2,30.1333,29,0,0,20,1,5,20
claude-haiku,beauty_contest,competitive,1,3,20,8|4|42|9,16.6,11.0667,9,0,0,20,1,5,20
claude-haiku,beauty_contest,competitive,1,4,18,65|30|35|85,46.6,31.0667,30,0,0,18,1,5,20
claude-haiku,beauty_contest,competitive,1,5,24,62|27|69|16,39.6,26.4,27,0,0,24,1,5,20
claude-haiku,beauty_contest,competitive,1,6,25,92|73|73|60,64.6,43.0667,60,0,0,25,1,5,20
claude-haiku,beauty_contest,competitive,1,7,40,31|100|60|52,56.6,37.7333,40,1,1,40,1,5,20
claude-haiku,beauty_contest,competitive,1,8,35,24|12|12|84,33.4,22.2667,24,0,0,35,1,5,20
claude-haiku,beauty_contest,competitive,1,9,22,55|45|54|52,45.6,30.4,22,1,1,22,1,5,20
claude-haiku,beauty_contest,competitive,1,10,25,59|93|6|86,53.8,35.8667,25,1,1,25,1,5,20
claude-haiku,beauty_contest,competitive,1,11,26,83|82|12|7,42.0,28.0,26,1,1,26,1,5,20
claude-haiku,beauty_contest,competitive,1,12,28,51|93|43|13,45.6,30.4,28,1,1,28,1,5,20
claude-haiku,beauty_contest,competitive,1,13,28,31|24|24|68,35.0,23.3333,24,0,0,28,1,5,20
claude-haiku,beauty_contest,competitive,1,14,26,57|17|54|23,35.4,23.6,23,0,0,26,1,5,20
claude-haiku,beauty_contest,competitive,1,15,25,35|59|31|9,31.8,21.2,25,1,1,25,1,5,20
claude-haiku,beauty_contest,competitive,1,16,24,56|70|12|6,33.6,22.4,24,1,1,24,1,5,20
claude-haiku,beauty_contest,competitive,1,17,24,83|69|1|11,37.6,25.0667,24,1,1,24,1,5,20
claude-haiku,beauty_contest,competitive,1,18,24,96|30|21|52,44.6,29.7333,30,0,0,24,1,5,20
claude-haiku,beauty_contest,competitive,1,19,26,62|61|27|51,45.4,30.2667,27,0,0,26,1,5,20
claude-haiku,beauty_contest,competitive,1,20,27,7|21|48|0,20.6,13.7333,7,0,0,27,1,5,20
gemini-flash,beauty_contest,neutral,1,1,33,49|33|100|100,63.0,42.0,49,0,0,33,0,5,1
gemini-flash,beauty_contest,neutral,1,1,33,58|36|54|89,54.0,36.0,36,0,0,33,1,5,20
gemini-flash,beauty_contest,neutral,1,2,24,93|100|71|84,74.4,49.6,71,0,0,24,1,5,20
gemini-flash,beauty_contest,neutral,1,3,24,91|62|19|24,44.0,29.3333,24,1,1,24,1,5,20
gemini-flash,beauty_contest,neutral,1,4,33,37|27|7|74,35.6,23.7333,27,0,0,33,1,5,20
gemini-flash,beauty_contest,neutral,1,5,18,94|69|7|95,56.6,37.7333,18,1,1,18,1,5,20
gemini-flash,beauty_contest,neutral,1,6,25,40|7|6|74,30.4,20.2667,25,1,1,25,1,5,20
gemini-flash,beauty_contest,neutral,1,7,20,61|64|67|20,46.4,30.9333,20,1,1,20,1,5,20
gemini-flash,beauty_contest,neutral,1,8,22,7|65|10|23,25.4,16.9333,22,1,1,22,1,5,20
gemini-flash,beauty_contest,neutral,1,9,15,8|76|8|86,38.6,25.7333,15,1,1,15,1,5,20
gemini-flash,beauty_contest,neutral,1,10,18,30|51|15|72,37.2,24.8,30,0,0,18,1,5,20
gemini-flash,beauty_contest,neutral,1,11,17,31|74|76|5,40.6,27.0667,31,0,0,17,1,5,20
gemini-flash,beauty_contest,neutral,1,12,23,79|10|53|84,49.8,33.2,23,1,1,23,1,5,20
gemini-flash,beauty_contest,neutral,1,13,18,74|72|66|40,54.0,36.0,40,0,0,18,1,5,20
gemini-flash,beauty_contest,neutral,1,14,25,33|26|85|91,52.0,34.6667,33,0,0,25,1,5,20
gemini-flash,beauty_contest,neutral,1,15,25,40|30|33|50,35.6,23.7333,25,1,1,25,1,5,20
gemini-flash,beauty_contest,neutral,1,16,25,16|85|82|38,49.2,32.8,38,0,0,25,1,5,20
gemini-flash,beauty_contest,neutral,1,17,24,58|40|96|9,45.4,30.2667,24,1,1,24,1,5,20
gemini-flash,beauty_contest,neutral,1,18,20,1|58|79|72,46.0,30.6667,20,1,1,20,1,5,20
gemini-flash,beauty_contest,neutral,1,19,25,12|9|68|27,28.2,18.8,25,1,1,25,1,5,20
gemini-flash,beauty_contest,neutral,1,20,25,64|33|16|44,36.4,24.2667,25,1,1,25,1,5,20
gemini-flash,beauty_contest,competitive,1,1,33,8|31|47|36,31.0,20.6667,31,0,0,33,0,5,1
gemini-flash,beauty_contest,competitive,1,1,33,20|56|69|90,53.6,35.7333,33,1,1,33,1,5,20
gemini-flash,beauty_contest,competitive,1,2,22,38|78|83|67,57.6,38.4,38,0,0,22,1,5,20
gemini-flash,beauty_contest,competitive,1,3,32,1|85|70|38,45.2,30.1333,32,1,1,32,1,5,20
gemini-flash,beauty_contest,competitive,1,4,29,84|13|17|33,35.2,23.4667,29,1,1,29,1,5,20
gemini-flash,beauty_contest,competitive,1,5,27,14|13|95|70,43.8,29.2,27,1,1,27,1,5,20
gemini-flash,beauty_contest,competitive,1,6,27,19|34|36|77,38.6,25.7333,27,1,1,27,1,5,20
gemini-flash,beauty_contest,competitive,1,7,25,26|91|43|26,42.2,28.1333,26,0,0,25,1,5,20
gemini-flash,beauty_contest,competitive,1,8,26,87|81|33|64,58.2,38.8,33,0,0,26,1,5,20
gemini-flash,beauty_contest,competitive,1,9,30,62|32|6|11,28.2,18.8,11,0,0,30,1,5,20
gemini-flash,beauty_contest,competitive,1,10,22,81|54|35|5,39.4,26.2667,22,1,1,22,1,5,20
gemini-flash,beauty_contest,competitive,1,11,25,0|42|98|16,36.2,24.1333,25,1,1,25,1,5,20
gemini-flash,beauty_contest,competitive,1,12,22,81|33|20|94,50.0,33.3333,33,0,0,22,1,5,20
gemini-flash,beauty_contest,competitive,1,13,24,56|70|90|54,58.8,39.2,54,0,0,24,1,5,20
gemini-flash,beauty_contest,competitive,1,14,25,71|1|14|9,24.0,16.0,14,0,0,25,1,5,20
gemini-flash,beauty_contest,competitive,1,15,26,88|19|69|4,41.2,27.4667,26,1,1,26,1,5,20
gemini-flash,beauty_contest,competitive,1,16,26,47|74|70|18,47.0,31.3333,26,1,1,26,1,5,20
gemini-flash,beauty_contest,competitive,1,17,27,55|16|5|39,28.4,18.9333,16,0,0,27,1,5,20
gemini-flash,beauty_contest,competitive,1,18,20,46|5|45|26,28.4,18.9333,20,1,1,20,1,5,20
gemini-flash,beauty_contest,competitive,1,19,20,87|31|85|13,47.2,31.4667,31,0,0,20,1,5,20
gemini-flash,beauty_contest,competitive,1,20,20,45|99|71|52,57.4,38.2667,45,0,0,20,1,5,20
deepseek-chat,beauty_contest,neutral,1,1,50,79|95|19|30,54.6,36.4,30,0,0,50,0,5,1
deepseek-chat,beauty_contest,neutral,1,1,20,20|22|52|3,23.4,15.6,20,1,1,20,1,5,20
deepseek-chat,beauty_contest,neutral,1,2,22,22|94|42|100,56.0,37.3333,42,0,0,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,3,95,52|85|94|31,71.4,47.6,52,0,0,95,1,5,20
deepseek-chat,beauty_contest,neutral,1,4,14,34|20|100|89,51.4,34.2667,34,0,0,14,1,5,20
deepseek-chat,beauty_contest,neutral,1,5,42,13|48|4|60,33.4,22.2667,13,0,0,42,1,5,20
deepseek-chat,beauty_contest,neutral,1,6,13,28|25|58|44,33.6,22.4,25,0,0,13,1,5,20
deepseek-chat,beauty_contest,neutral,1,7,13,39|29|28|3,22.4,14.9333,13,1,1,13,1,5,20
deepseek-chat,beauty_contest,neutral,1,8,26,84|24|51|42,45.4,30.2667,26,1,1,26,1,5,20
deepseek-chat,beauty_contest,neutral,1,9,13,35|8|98|35,37.8,25.2,35,0,0,13,1,5,20
deepseek-chat,beauty_contest,neutral,1,10,13,44|82|65|51,51.0,34.0,44,0,0,13,1,5,20
deepseek-chat,beauty_contest,neutral,1,11,22,86|68|42|3,44.2,29.4667,22,1,1,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,12,34,14|33|22|74,35.4,23.6,22,0,0,34,1,5,20
deepseek-chat,beauty_contest,neutral,1,13,22,33|4|13|76,29.6,19.7333,22,1,1,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,14,22,55|44|93|100,62.8,41.8667,44,0,0,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,15,22,40|55|77|65,51.8,34.5333,40,0,0,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,16,37,14|49|73|24,39.4,26.2667,24,0,0,37,1,5,20
deepseek-chat,beauty_contest,neutral,1,17,22,32|5|90|55,40.8,27.2,32,0,0,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,18,22,0|66|68|87,48.6,32.4,22,1,1,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,19,22,92|94|94|85,77.4,51.6,22,1,1,22,1,5,20
deepseek-chat,beauty_contest,neutral,1,20,22,25|46|55|8,31.2,20.8,22,1,1,22,1,5,20
deepseek-chat,beauty_contest,competitive,1,1,11,85|42|79|40,51.4,34.2667,40,0,0,11,0,5,1
deepseek-chat,beauty_contest,competitive,1,1,37,84|15|92|38,53.2,35.4667,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,2,40,64|39|85|52,56.0,37.3333,39,0,0,40,1,5,20
deepseek-chat,beauty_contest,competitive,1,3,16,41|51|89|37,46.8,31.2,37,0,0,16,1,5,20
deepseek-chat,beauty_contest,competitive,1,4,37,70|16|24|53,40.0,26.6667,24,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,5,37,85|48|86|95,70.2,46.8,48,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,6,37,22|78|72|38,49.4,32.9333,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,7,37,51|70|0|38,39.2,26.1333,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,8,31,36|26|55|100,49.6,33.0667,31,1,1,31,1,5,20
deepseek-chat,beauty_contest,competitive,1,9,37,74|77|83|41,62.4,41.6,41,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,10,37,59|56|56|86,58.8,39.2,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,11,37,27|65|60|94,56.6,37.7333,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,12,37,21|84|10|36,37.6,25.0667,21,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,13,37,65|84|81|79,69.2,46.1333,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,14,37,42|11|96|30,43.2,28.8,30,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,15,37,86|39|28|25,43.0,28.6667,28,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,16,37,18|3|5|31,18.8,12.5333,18,0,0,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,17,37,60|78|98|9,56.4,37.6,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,18,37,58|53|80|73,60.2,40.1333,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,19,37,24|91|89|49,58.0,38.6667,37,1,1,37,1,5,20
deepseek-chat,beauty_contest,competitive,1,20,37,63|51|31|18,40.0,26.6667,31,0,0,37,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,1,43,83|88|0|96,62.0,41.3333,43,1,1,43,0,5,1
llama-3.1-8b,beauty_contest,neutral,1,1,43,98|13|99|54,61.4,40.9333,43,1,1,43,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,2,14,28|22|89|66,43.8,29.2,28,0,0,14,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,3,30,59|6|71|31,39.4,26.2667,30,1,1,30,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,4,67,15|58|17|59,43.2,28.8,17,0,0,67,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,5,31,85|67|71|76,66.0,44.0,31,1,1,31,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,6,14,40|96|56|78,56.8,37.8667,40,0,0,14,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,7,34,92|64|54|70,62.8,41.8667,34,1,1,34,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,8,50,57|20|95|60,56.4,37.6,50,1,1,50,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,9,59,57|33|96|31,55.2,36.8,33,0,0,59,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,10,51,81|35|98|99,72.8,48.5333,51,1,1,51,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,11,19,66|62|80|30,51.4,34.2667,30,0,0,19,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,12,75,35|56|9|91,53.2,35.4667,35,0,0,75,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,13,57,36|30|34|42,39.8,26.5333,30,0,0,57,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,14,67,40|69|10|17,40.6,27.0667,17,0,0,67,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,15,67,19|29|49|88,50.4,33.6,29,0,0,67,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,16,38,19|90|27|8,36.4,24.2667,27,0,0,38,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,17,26,53|52|42|69,48.4,32.2667,26,1,1,26,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,18,41,59|53|7|26,37.2,24.8,26,0,0,41,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,19,24,53|49|98|74,59.6,39.7333,49,0,0,24,1,5,20
llama-3.1-8b,beauty_contest,neutral,1,20,49,89|2|97|73,62.0,41.3333,49,1,1,49,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,1,50,48|61|0|45,40.8,27.2,45,0,0,50,0,5,1
llama-3.1-8b,beauty_contest,competitive,1,1,73,38|96|49|53,61.8,41.2,38,0,0,73,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,2,41,68|95|94|69,73.4,48.9333,41,1,1,41,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,3,41,77|28|62|28,47.2,31.4667,28,0,0,41,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,4,32,34|55|62|3,37.2,24.8,32,1,1,32,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,5,25,49|43|85|86,57.6,38.4,43,0,0,25,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,6,31,51|92|21|59,50.8,33.8667,31,1,1,31,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,7,35,16|79|68|3,40.2,26.8,35,1,1,35,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,8,45,50|75|72|84,65.2,43.4667,45,1,1,45,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,9,34,3|10|82|54,36.6,24.4,34,1,1,34,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,10,41,17|59|23|6,29.2,19.4667,17,0,0,41,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,11,30,33|48|41|27,35.8,23.8667,27,0,0,30,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,12,26,58|41|43|97,53.0,35.3333,41,0,0,26,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,13,27,48|35|96|53,51.8,34.5333,35,0,0,27,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,14,30,32|10|60|2,26.8,17.8667,10,0,0,30,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,15,22,95|69|6|44,47.2,31.4667,22,1,1,22,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,16,40,28|83|8|99,51.6,34.4,40,1,1,40,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,17,32,83|5|96|3,43.8,29.2,32,1,1,32,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,18,30,31|25|2|79,33.4,22.2667,25,0,0,30,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,19,44,19|30|16|60,33.8,22.5333,19,0,0,44,1,5,20
llama-3.1-8b,beauty_contest,competitive,1,20,24,85|14|72|27,44.4,29.6,27,0,0,24,1,5,20
grok,beauty_contest,neutral,1,1,0,59|89|32|98,55.6,37.0667,32,0,0,0,0,5,1
grok,beauty_contest,neutral,1,1,33,47|21|77|77,51.0,34.0,33,1,1,33,1,5,20
grok,beauty_contest,neutral,1,2,23,95|91|14|99,64.4,42.9333,23,1,1,23,1,5,20
grok,beauty_contest,neutral,1,3,19,20|39|13|74,33.0,22.0,20,0,0,19,1,5,20
grok,beauty_contest,neutral,1,4,14,3|39|73|86,43.0,28.6667,39,0,0,14,1,5,20
grok,beauty_contest,neutral,1,5,29,48|50|91|25,48.6,32.4,29,1,1,29,1,5,20
grok,beauty_contest,neutral,1,6,32,9|75|88|80,56.8,37.8667,32,1,1,32,1,5,20
grok,beauty_contest,neutral,1,7,25,31|13|89|98,51.2,34.1333,31,0,0,25,1,5,20
grok,beauty_contest,neutral,1,8,23,38|87|76|15,47.8,31.8667,38,0,0,23,1,5,20
grok,beauty_contest,neutral,1,9,32,72|100|5|44,50.6,33.7333,32,1,1,32,1,5,20
grok,beauty_contest,neutral,1,10,33,68|54|84|47,57.2,38.1333,33,1,1,33,1,5,20
grok,beauty_contest,neutral,1,11,33,8|64|82|43,46.0,30.6667,33,1,1,33,1,5,20
grok,beauty_contest,neutral,1,12,31,1|53|62|13,32.0,21.3333,13,0,0,31,1,5,20
grok,beauty_contest,neutral,1,13,14,55|46|81|58,50.8,33.8667,46,0,0,14,1,5,20
grok,beauty_contest,neutral,1,14,32,90|19|55|22,43.6,29.0667,32,1,1,32,1,5,20
grok,beauty_contest,neutral,1,15,32,93|66|83|34,61.6,41.0667,34,0,0,32,1,5,20
grok,beauty_contest,neutral,1,16,31,78|68|99|61,67.4,44.9333,31,1,1,31,1,5,20
grok,beauty_contest,neutral,1,17,33,59|55|93|75,63.0,42.0,33,1,1,33,1,5,20
grok,beauty_contest,neutral,1,18,33,34|41|31|11,30.0,20.0,11,0,0,33,1,5,20
grok,beauty_contest,neutral,1,19,20,35|57|31|96,47.8,31.8667,31,0,0,20,1,5,20
grok,beauty_contest,neutral,1,20,32,59|72|78|85,65.2,43.4667,32,1,1,32,1,5,20
grok,beauty_contest,competitive,1,1,20,48|43|3|63,35.4,23.6,20,1,1,20,0,5,1
grok,beauty_contest,competitive,1,1,33,41|23|62|27,37.2,24.8,23,0,0,33,1,5,20
grok,beauty_contest,competitive,1,2,14,45|33|43|35,34.0,22.6667,14,1,1,14,1,5,20
grok,beauty_contest,competitive,1,3,9,76|89|35|71,56.0,37.3333,35,0,0,9,1,5,20
grok,beauty_contest,competitive,1,4,22,1|66|24|10,24.6,16.4,22,1,1,22,1,5,20
grok,beauty_contest,competitive,1,5,16,30|92|52|62,50.4,33.6,30,0,0,16,1,5,20
grok,beauty_contest,competitive,1,6,20,71|97|30|88,61.2,40.8,30,0,0,20,1,5,20
grok,beauty_contest,competitive,1,7,20,60|82|91|62,63.0,42.0,60,0,0,20,1,5,20
grok,beauty_contest,competitive,1,8,42,57|2|11|37,29.8,19.8667,11,0,0,42,1,5,20
grok,beauty_contest,competitive,1,9,20,28|51|88|31,43.6,29.0667,28,0,0,20,1,5,20
grok,beauty_contest,competitive,1,10,29,39|84|74|47,54.6,36.4,39,0,0,29,1,5,20
grok,beauty_contest,competitive,1,11,28,60|70|67|44,53.8,35.8667,28,1,1,28,1,5,20
grok,beauty_contest,competitive,1,12,17,54|95|70|42,55.6,37.0667,42,0,0,17,1,5,20
grok,beauty_contest,competitive,1,13,28,45|89|58|34,50.8,33.8667,34,0,0,28,1,5,20
grok,beauty_contest,competitive,1,14,23,39|32|29|15,27.6,18.4,15,0,0,23,1,5,20
grok,beauty_contest,competitive,1,15,28,92|24|40|15,39.8,26.5333,28,1,1,28,1,5,20
grok,beauty_contest,competitive,1,16,30,95|68|97|88,75.6,50.4,68,0,0,30,1,5,20
grok,beauty_contest,competitive,1,17,30,23|24|27|94,39.6,26.4,27,0,0,30,1,5,20
grok,beauty_contest,competitive,1,18,21,61|35|92|75,56.8,37.8667,35,0,0,21,1,5,20
grok,beauty_contest,competitive,1,19,20,97|67|76|36,59.2,39.4667,36,0,0,20,1,5,20
