model,game,opponent_strategy,framing,run_id,round,llm_action,opponent_action,llm_payoff,opponent_payoff,raw_response,temperature,opponent_model,perspective
deepseek-chat,prisoners_dilemma,LLM,neutral,1,23,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,24,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,24,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,25,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,25,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,26,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,26,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,27,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,27,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,28,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,28,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,29,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,29,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,30,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,30,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,31,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,31,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,32,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,32,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,33,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,33,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,34,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,34,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,35,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,35,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,36,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,36,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,37,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,37,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,38,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,38,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,39,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,39,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,40,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,40,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,41,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,41,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,42,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,42,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,43,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,43,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,44,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,44,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,45,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,45,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,46,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,46,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,47,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,47,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,48,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,48,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,49,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,49,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,50,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,50,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,1,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,1,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,2,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,2,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,3,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,3,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,4,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,4,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,5,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,5,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,6,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,6,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,7,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,7,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,8,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,8,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,9,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,9,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,10,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,10,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,11,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,11,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,12,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,12,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,13,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,13,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,14,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,14,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,15,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,15,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,16,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,16,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,17,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,17,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,18,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,18,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,19,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,19,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,20,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,20,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,21,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,21,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,22,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,22,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,23,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,23,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,24,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,24,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,25,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,25,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,26,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,26,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,27,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,27,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,28,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,28,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,29,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,29,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,30,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,30,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,31,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,31,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,32,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,32,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,33,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,33,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,34,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,34,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,35,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,35,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,36,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,36,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,37,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,37,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,38,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,38,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,39,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,39,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,40,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,40,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,41,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,41,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,42,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,42,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,43,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,43,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,44,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,44,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,45,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,45,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,46,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,46,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,47,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,47,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,48,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,48,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,49,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,49,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,competitive,1,50,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,competitive,1,50,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
