model,game,framing,run_id,round,llm_number,random_numbers,mean,target,winner_number,llm_won,payoff,raw_response,temperature,num_players,num_rounds
claude-haiku,beauty_contest,neutral,13,5,33,75|28|0|9,29.0,19.3333,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,14,1,33,90|80|7|29,47.8,31.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,14,2,33,8|4|42|9,19.2,12.8,9,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,14,3,33,65|30|35|85,49.6,33.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,14,4,33,62|27|69|16,41.4,27.6,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,14,5,33,92|73|73|60,66.2,44.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,15,1,33,31|100|60|52,55.2,36.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,15,2,33,24|12|12|84,33.0,22.0,24,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,15,3,33,55|45|54|52,47.8,31.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,15,4,33,59|93|6|86,55.4,36.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,15,5,33,83|82|12|7,43.4,28.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,16,1,33,51|93|43|13,46.6,31.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,16,2,33,31|24|24|68,36.0,24.0,24,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,16,3,33,57|17|54|23,36.8,24.5333,23,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,16,4,33,35|59|31|9,33.4,22.2667,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,16,5,33,56|70|12|6,35.4,23.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,17,1,33,83|69|1|11,39.4,26.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,17,2,33,96|30|21|52,46.4,30.9333,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,17,3,33,62|61|27|51,46.8,31.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,17,4,33,7|21|48|0,21.8,14.5333,21,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,17,5,33,49|33|100|100,63.0,42.0,49,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,18,1,33,58|36|54|89,54.0,36.0,36,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,18,2,33,93|100|71|84,76.2,50.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,18,3,33,91|62|19|24,45.8,30.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,18,4,33,37|27|7|74,35.6,23.7333,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,18,5,33,94|69|7|95,59.6,39.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,19,1,33,40|7|6|74,32.0,21.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,19,2,33,61|64|67|20,49.0,32.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,19,3,33,7|65|10|23,27.6,18.4,23,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,19,4,33,8|76|8|86,42.2,28.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,19,5,33,30|51|15|72,40.2,26.8,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,20,1,33,31|74|76|5,43.8,29.2,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,20,2,33,79|10|53|84,51.8,34.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,20,3,33,74|72|66|40,57.0,38.0,40,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,20,4,33,33|26|85|91,53.6,35.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,20,5,33,40|30|33|50,37.2,24.8,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,21,1,33,16|85|82|38,50.8,33.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,21,2,33,58|40|96|9,47.2,31.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,21,3,33,1|58|79|72,48.6,32.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,21,4,33,12|9|68|27,29.8,19.8667,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,21,5,33,64|33|16|44,38.0,25.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,22,1,33,8|31|47|36,31.0,20.6667,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,22,2,33,20|56|69|90,53.6,35.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,22,3,33,38|78|83|67,59.8,39.8667,38,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,22,4,33,1|85|70|38,45.4,30.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,22,5,33,84|13|17|33,36.0,24.0,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,23,1,33,14|13|95|70,45.0,30.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,23,2,33,19|34|36|77,39.8,26.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,23,3,33,26|91|43|26,43.8,29.2,26,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,23,4,33,87|81|33|64,59.6,39.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,23,5,33,62|32|6|11,28.8,19.2,11,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,24,1,33,81|54|35|5,41.6,27.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,24,2,33,0|42|98|16,37.8,25.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,24,3,33,81|33|20|94,52.2,34.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,24,4,33,56|70|90|54,60.6,40.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,24,5,33,71|1|14|9,25.6,17.0667,14,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,25,1,33,88|19|69|4,42.6,28.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,25,2,33,47|74|70|18,48.4,32.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,25,3,33,55|16|5|39,29.6,19.7333,16,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,25,4,33,46|5|45|26,31.0,20.6667,26,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,25,5,33,87|31|85|13,49.8,33.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,26,1,33,45|99|71|52,60.0,40.0,45,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,26,2,33,79|95|19|30,51.2,34.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,26,3,33,20|22|52|3,26.0,17.3333,20,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,26,4,33,22|94|42|100,58.2,38.8,42,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,26,5,33,52|85|94|31,59.0,39.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,27,1,33,34|20|100|89,55.2,36.8,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,27,2,33,13|48|4|60,31.6,21.0667,13,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,27,3,33,28|25|58|44,37.6,25.0667,25,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,27,4,33,39|29|28|3,26.4,17.6,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,27,5,33,84|24|51|42,46.8,31.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,28,1,33,35|8|98|35,41.8,27.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,28,2,33,44|82|65|51,55.0,36.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,28,3,33,86|68|42|3,46.4,30.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,28,4,33,14|33|22|74,35.2,23.4667,22,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,28,5,33,33|4|13|76,31.8,21.2,13,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,29,1,33,55|44|93|100,65.0,43.3333,44,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,29,2,33,40|55|77|65,54.0,36.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,29,3,33,14|49|73|24,38.6,25.7333,24,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,29,4,33,32|5|90|55,43.0,28.6667,32,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,29,5,33,0|66|68|87,50.8,33.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,30,1,33,92|94|94|85,79.6,53.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,30,2,33,25|46|55|8,33.4,22.2667,25,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,30,3,33,85|42|79|40,55.8,37.2,40,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,30,4,33,84|15|92|38,52.4,34.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,30,5,33,64|39|85|52,54.6,36.4,39,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,1,33,41|51|89|37,50.2,33.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,2,33,70|16|24|53,39.2,26.1333,24,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,3,33,85|48|86|95,69.4,46.2667,48,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,4,33,22|78|72|38,48.6,32.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,5,33,51|70|0|38,38.4,25.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,1,33,36|26|55|100,50.0,33.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,2,33,74|77|83|41,61.6,41.0667,41,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,3,33,59|56|56|86,58.0,38.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,4,33,27|65|60|94,55.8,37.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,5,33,21|84|10|36,36.8,24.5333,21,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,1,33,65|84|81|79,68.4,45.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,2,33,42|11|96|30,42.4,28.2667,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,3,33,86|39|28|25,42.2,28.1333,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,4,33,18|3|5|31,18.0,12.0,18,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,5,33,60|78|98|9,55.6,37.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,1,33,58|53|80|73,59.4,39.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,2,33,24|91|89|49,57.2,38.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,3,33,63|51|31|18,39.2,26.1333,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,4,33,83|88|0|96,60.0,40.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,5,33,98|13|99|54,59.4,39.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,1,33,28|22|89|66,47.6,31.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,2,33,59|6|71|31,40.0,26.6667,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,3,33,15|58|17|59,36.4,24.2667,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,4,33,85|67|71|76,66.4,44.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,5,33,40|96|56|78,60.6,40.4,40,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,1,33,92|64|54|70,62.6,41.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,2,33,57|20|95|60,53.0,35.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,3,33,57|33|96|31,50.0,33.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,4,33,81|35|98|99,69.2,46.1333,35,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,5,33,66|62|80|30,54.2,36.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,1,33,35|56|9|91,44.8,29.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,2,33,36|30|34|42,35.0,23.3333,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,3,33,40|69|10|17,33.8,22.5333,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,4,33,19|29|49|88,43.6,29.0667,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,5,33,19|90|27|8,35.4,23.6,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,1,33,53|52|42|69,49.8,33.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,2,33,59|53|7|26,35.6,23.7333,26,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,3,33,53|49|98|74,61.4,40.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,4,33,89|2|97|73,58.8,39.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,5,33,48|61|0|45,37.4,24.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,1,33,38|96|49|53,53.8,35.8667,38,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,2,33,68|95|94|69,71.8,47.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,3,33,77|28|62|28,45.6,30.4,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,4,33,34|55|62|3,37.4,24.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,5,33,49|43|85|86,59.2,39.4667,43,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,1,33,51|92|21|59,51.2,34.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,2,33,16|79|68|3,39.8,26.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,3,33,50|75|72|84,62.8,41.8667,50,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,4,33,3|10|82|54,36.4,24.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,5,33,17|59|23|6,27.6,18.4,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,1,33,33|48|41|27,36.4,24.2667,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,2,33,58|41|43|97,54.4,36.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,3,33,48|35|96|53,53.0,35.3333,35,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,4,33,32|10|60|2,27.4,18.2667,10,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,5,33,95|69|6|44,49.4,32.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,1,33,28|83|8|99,50.2,33.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,2,33,83|5|96|3,44.0,29.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,3,33,31|25|2|79,34.0,22.6667,25,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,4,33,19|30|16|60,31.6,21.0667,19,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,5,33,85|14|72|27,46.2,30.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,1,33,59|89|32|98,62.2,41.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,2,33,47|21|77|77,51.0,34.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,3,33,95|91|14|99,66.4,44.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,4,33,20|39|13|74,35.8,23.8667,20,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,5,33,3|39|73|86,46.8,31.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,1,33,48|50|91|25,49.4,32.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,2,33,9|75|88|80,57.0,38.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,3,33,31|13|89|98,52.8,35.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,4,33,38|87|76|15,49.8,33.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,5,33,72|100|5|44,50.8,33.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,15,1,33,68|54|84|47,57.2,38.1333,33,1,1,[DRY RUN],0.7,5,5
