proposer_model,responder_model,game,framing,run_id,offer,response,payoff_proposer,payoff_responder,raw_proposer,raw_responder,temperature
claude-haiku,claude-haiku,ultimatum_game,competitive,1,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,2,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,3,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,4,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,5,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,6,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,7,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,8,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,9,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,10,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,11,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,12,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,13,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,14,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,15,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,16,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,17,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,18,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,19,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,20,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,21,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,22,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,23,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,24,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,25,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,26,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,27,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,28,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,29,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,competitive,30,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
