model,game,opponent_strategy,framing,run_id,round,llm_action,opponent_action,llm_payoff,opponent_payoff,raw_response,temperature
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,1,C,C,9,9,A,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,2,C,D,0,10,A,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,3,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,4,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,5,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,6,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,7,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,8,D,D,6,6,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,9,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,10,D,C,10,0,B,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,1,D,C,10,0,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,2,D,C,10,0,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,3,D,C,10,0,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,4,D,C,10,0,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,5,D,D,6,6,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,6,D,C,10,0,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,7,D,D,6,6,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,8,D,D,6,6,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,9,D,C,10,0,D,1
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,10,D,C,10,0,D,1
gpt-4o-mini,chicken_game,AC,neutral,1,1,D,C,1,-1,B,0
gpt-4o-mini,chicken_game,AC,neutral,1,1,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,2,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,3,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,4,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,5,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,6,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,7,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,8,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,9,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,neutral,1,10,C,C,0,0,A,1
gpt-4o-mini,chicken_game,AC,competitive,1,1,D,C,1,-1,G,0
gpt-4o-mini,chicken_game,AC,competitive,1,1,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,2,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,3,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,4,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,5,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,6,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,7,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,8,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,9,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AC,competitive,1,10,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,AD,neutral,1,1,D,D,-10,-10,B,0
gpt-4o-mini,chicken_game,AD,neutral,1,1,D,D,-10,-10,B,1
gpt-4o-mini,chicken_game,AD,neutral,1,2,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,3,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,4,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,5,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,6,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,7,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,8,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,9,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,AD,neutral,1,10,D,D,-10,-10,B,1
gpt-4o-mini,chicken_game,AD,competitive,1,1,D,D,-10,-10,G,0
gpt-4o-mini,chicken_game,AD,competitive,1,1,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,2,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,3,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,4,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,5,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,6,C,D,-1,1,S,1
gpt-4o-mini,chicken_game,AD,competitive,1,7,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,8,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,9,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,AD,competitive,1,10,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,neutral,1,1,D,C,1,-1,B,0
gpt-4o-mini,chicken_game,TfT,neutral,1,1,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,2,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,3,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,4,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,5,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,6,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,7,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,8,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,9,C,C,0,0,A,1
gpt-4o-mini,chicken_game,TfT,neutral,1,10,D,C,1,-1,B,1
gpt-4o-mini,chicken_game,TfT,competitive,1,1,D,C,1,-1,G,0
gpt-4o-mini,chicken_game,TfT,competitive,1,1,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,2,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,3,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,4,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,5,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,6,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,7,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,8,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,9,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,TfT,competitive,1,10,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,Random,neutral,1,1,D,D,-10,-10,B,0
gpt-4o-mini,chicken_game,Random,neutral,1,1,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,Random,neutral,1,2,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,Random,neutral,1,3,D,C,1,-1,B,1
gpt-4o-mini,chicken_game,Random,neutral,1,4,D,C,1,-1,B,1
gpt-4o-mini,chicken_game,Random,neutral,1,5,D,D,-10,-10,B,1
gpt-4o-mini,chicken_game,Random,neutral,1,6,D,C,1,-1,B,1
gpt-4o-mini,chicken_game,Random,neutral,1,7,C,C,0,0,A,1
gpt-4o-mini,chicken_game,Random,neutral,1,8,D,D,-10,-10,B,1
gpt-4o-mini,chicken_game,Random,neutral,1,9,C,C,0,0,A,1
gpt-4o-mini,chicken_game,Random,neutral,1,10,C,D,-1,1,A,1
gpt-4o-mini,chicken_game,Random,competitive,1,1,D,D,-10,-10,G,0
gpt-4o-mini,chicken_game,Random,competitive,1,1,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,2,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,3,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,4,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,5,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,6,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,7,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,8,D,D,-10,-10,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,9,D,C,1,-1,G,1
gpt-4o-mini,chicken_game,Random,competitive,1,10,D,C,1,-1,G,1
gpt-4o-mini,stag_hunt,AC,neutral,1,1,C,C,10,10,A,0
gpt-4o-mini,stag_hunt,AC,neutral,1,1,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,2,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,3,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,4,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,5,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,6,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,7,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,8,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,9,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,neutral,1,10,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,AC,competitive,1,1,D,C,2,0,H,0
gpt-4o-mini,stag_hunt,AC,competitive,1,1,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,2,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,3,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,4,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,5,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,6,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,7,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,8,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,9,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AC,competitive,1,10,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,AD,neutral,1,1,C,D,0,2,A,0
gpt-4o-mini,stag_hunt,AD,neutral,1,1,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,AD,neutral,1,2,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,AD,neutral,1,3,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,AD,neutral,1,4,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,AD,neutral,1,5,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,AD,neutral,1,6,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,AD,neutral,1,7,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,AD,neutral,1,8,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,AD,neutral,1,9,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,AD,neutral,1,10,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,AD,competitive,1,1,D,D,1,1,H,0
gpt-4o-mini,stag_hunt,AD,competitive,1,1,C,D,0,2,S,1
gpt-4o-mini,stag_hunt,AD,competitive,1,2,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,3,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,4,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,5,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,6,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,7,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,8,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,9,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,AD,competitive,1,10,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,1,C,C,10,10,A,0
gpt-4o-mini,stag_hunt,TfT,neutral,1,1,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,2,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,3,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,4,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,5,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,6,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,7,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,8,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,9,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,neutral,1,10,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,1,D,C,2,0,H,0
gpt-4o-mini,stag_hunt,TfT,competitive,1,1,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,2,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,3,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,4,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,5,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,6,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,7,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,8,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,9,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,TfT,competitive,1,10,C,C,10,10,S,1
gpt-4o-mini,stag_hunt,Random,neutral,1,1,C,C,10,10,A,0
gpt-4o-mini,stag_hunt,Random,neutral,1,1,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,2,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,3,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,4,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,5,C,C,10,10,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,6,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,7,C,D,0,2,A,1
gpt-4o-mini,stag_hunt,Random,neutral,1,8,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,Random,neutral,1,9,D,D,1,1,B,1
gpt-4o-mini,stag_hunt,Random,neutral,1,10,D,C,2,0,B,1
gpt-4o-mini,stag_hunt,Random,competitive,1,1,D,D,1,1,H,0
gpt-4o-mini,stag_hunt,Random,competitive,1,1,C,D,0,2,S,1
gpt-4o-mini,stag_hunt,Random,competitive,1,2,D,C,2,0,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,3,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,4,D,C,2,0,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,5,D,C,2,0,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,6,D,C,2,0,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,7,D,C,2,0,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,8,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,9,D,D,1,1,H,1
gpt-4o-mini,stag_hunt,Random,competitive,1,10,D,D,1,1,H,1
claude-haiku,prisoners_dilemma,AC,neutral,1,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,1,1,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,2,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,3,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,4,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,5,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,6,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,7,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,8,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,9,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,neutral,1,10,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,AC,competitive,1,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,1,1,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,2,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,3,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,4,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,5,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,6,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,7,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,8,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,9,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AC,competitive,1,10,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,AD,neutral,1,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,1,1,C,D,0,10,A,1
claude-haiku,prisoners_dilemma,AD,neutral,1,2,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,3,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,4,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,5,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,6,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,7,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,8,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,9,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,AD,neutral,1,10,C,D,0,10,A,1
claude-haiku,prisoners_dilemma,AD,competitive,1,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,1,1,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,2,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,3,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,4,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,5,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,6,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,7,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,8,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,9,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,AD,competitive,1,10,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,1,1,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,2,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,3,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,4,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,5,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,6,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,7,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,8,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,9,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,neutral,1,10,C,C,9,9,A,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,1,1,D,C,10,0,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,2,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,3,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,4,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,5,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,6,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,7,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,8,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,9,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,TfT,competitive,1,10,D,D,6,6,D,1
claude-haiku,prisoners_dilemma,Random,neutral,1,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,neutral,1,1,C,D,0,10,A,1
claude-haiku,prisoners_dilemma,Random,neutral,1,2,D,C,10,0,B,1
claude-haiku,prisoners_dilemma,Random,neutral,1,3,D,C,10,0,B,1
claude-haiku,prisoners_dilemma,Random,neutral,1,4,D,C,10,0,B,1
claude-haiku,prisoners_dilemma,Random,neutral,1,5,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,Random,neutral,1,6,D,D,6,6,B,1
claude-haiku,prisoners_dilemma,Random,neutral,1,7,D,D,6,6,B,1
